Qe_sw      SSA_sw      g_sw
0.90      0.90      0.58
0.90      0.90      0.58
0.90      0.90      0.58
0.90      0.90      0.58
0.90      0.90      0.58
0.90      0.90      0.58
0.90      0.90      0.58
0.90      0.90      0.58
0.90      0.90      0.58
0.90      0.90      0.58
0.90      0.90      0.58
0.90      0.90      0.58
0.90      0.90      0.58
0.90      0.90      0.58
