Season      Lat      Lon      Rs      SZA      Aerosol_net      Clear_net      Net_net      Column_DAOD
0.000      -90.000      30.000      0.799      66.793      201.245      200.418      0.827      0.622
0.000      -90.000      32.500      0.799      66.798      201.209      200.383      0.826      0.622
0.000      -90.000      35.000      0.799      66.802      201.177      200.351      0.826      0.622
0.000      -90.000      37.500      0.799      66.805      201.149      200.324      0.825      0.622
0.000      -90.000      40.000      0.799      66.808      201.124      200.300      0.825      0.622
0.000      -90.000      42.500      0.799      66.811      201.104      200.280      0.824      0.622
0.000      -90.000      45.000      0.799      66.813      201.087      200.264      0.824      0.622
0.000      -90.000      47.500      0.799      66.815      201.075      200.251      0.824      0.622
0.000      -90.000      50.000      0.799      66.816      201.066      200.243      0.823      0.622
0.000      -90.000      52.500      0.799      66.816      201.062      200.239      0.823      0.622
0.000      -90.000      55.000      0.799      66.816      201.062      200.239      0.823      0.622
0.000      -90.000      57.500      0.799      66.816      201.066      200.243      0.823      0.622
0.000      -90.000      60.000      0.799      66.815      201.075      200.251      0.824      0.622
0.000      -90.000      62.500      0.799      66.813      201.087      200.264      0.824      0.622
0.000      -90.000      65.000      0.799      66.811      201.104      200.280      0.824      0.622
0.000      -90.000      67.500      0.799      66.808      201.124      200.300      0.825      0.622
0.000      -90.000      70.000      0.799      66.805      201.150      200.324      0.825      0.622
0.000      -90.000      72.500      0.799      66.802      201.179      200.353      0.826      0.622
0.000      -90.000      75.000      0.799      66.797      201.212      200.385      0.826      0.622
0.000      -90.000      77.500      0.799      66.793      201.249      200.421      0.827      0.622
0.000      -90.000      80.000      0.799      66.787      201.289      200.461      0.828      0.622
0.000      -90.000      82.500      0.799      66.782      201.333      200.504      0.829      0.622
0.000      -90.000      85.000      0.799      66.776      201.382      200.552      0.830      0.622
0.000      -90.000      87.500      0.799      66.769      201.434      200.603      0.831      0.622
0.000      -90.000      90.000      0.799      66.762      201.490      200.657      0.832      0.622
0.000      -90.000      92.500      0.799      66.754      201.549      200.715      0.834      0.622
0.000      -90.000      95.000      0.799      66.747      201.611      200.776      0.835      0.622
0.000      -90.000      97.500      0.799      66.738      201.676      200.840      0.836      0.622
0.000      -90.000      100.000      0.799      66.729      201.744      200.907      0.838      0.622
0.000      -90.000      102.500      0.799      66.720      201.816      200.976      0.839      0.622
0.000      -90.000      105.000      0.799      66.711      201.890      201.049      0.841      0.622
0.000      -90.000      107.500      0.799      66.701      201.966      201.124      0.842      0.622
0.000      -90.000      110.000      0.799      66.691      202.046      201.202      0.844      0.622
0.000      -90.000      112.500      0.799      66.681      202.127      201.282      0.846      0.622
0.000      -90.000      115.000      0.799      66.670      202.211      201.364      0.848      0.622
0.000      -90.000      117.500      0.799      66.659      202.297      201.448      0.849      0.622
0.000      -90.000      120.000      0.799      66.648      202.384      201.533      0.851      0.622
0.000      -90.000      122.500      0.799      66.637      202.474      201.620      0.853      0.622
0.000      -90.000      125.000      0.799      66.625      202.564      201.709      0.855      0.622
0.000      -90.000      127.500      0.799      66.613      202.656      201.799      0.857      0.622
0.000      -90.000      130.000      0.799      66.602      202.748      201.889      0.859      0.622
0.000      -90.000      132.500      0.799      66.590      202.841      201.981      0.861      0.622
0.000      -90.000      135.000      0.799      66.578      202.936      202.074      0.863      0.622
0.000      -90.000      137.500      0.799      66.566      203.031      202.166      0.865      0.622
0.000      -90.000      140.000      0.799      66.553      203.126      202.259      0.867      0.622
0.000      -90.000      142.500      0.799      66.541      203.221      202.352      0.869      0.622
0.000      -90.000      145.000      0.799      66.529      203.316      202.445      0.871      0.622
0.000      -90.000      147.500      0.799      66.517      203.411      202.538      0.873      0.622
0.000      -90.000      150.000      0.799      66.505      203.506      202.631      0.875      0.622
0.000      -90.000      152.500      0.799      66.493      203.599      202.722      0.877      0.622
0.000      -90.000      155.000      0.799      66.481      203.691      202.813      0.879      0.622
0.000      -90.000      157.500      0.799      66.470      203.783      202.902      0.881      0.622
0.000      -90.000      160.000      0.799      66.458      203.874      202.991      0.883      0.622
0.000      -90.000      162.500      0.799      66.447      203.963      203.079      0.885      0.622
0.000      -90.000      165.000      0.799      66.435      204.050      203.164      0.886      0.622
0.000      -90.000      167.500      0.799      66.425      204.136      203.248      0.888      0.622
0.000      -90.000      170.000      0.799      66.414      204.220      203.330      0.890      0.622
