Qe_sw      SSA_sw      g_sw
4.034      0.970      0.762
4.099      0.976      0.747
4.167      0.982      0.726
4.400      0.987      0.736
4.174      0.991      0.743
3.711      0.992      0.732
3.346      0.993      0.720
2.699      0.993      0.697
2.249      0.993      0.671
1.856      0.992      0.640
1.319      0.992      0.575
0.839      0.990      0.477
0.089      0.973      0.248
3.745      0.960      0.766
