Qe_sw      SSA_sw      g_sw
0.90      1.0      0.70
0.90      1.0      0.70
0.90      1.0      0.70
0.90      1.0      0.70
0.90      1.0      0.70
0.90      1.0      0.70
0.90      1.0      0.70
0.90      1.0      0.70
0.90      1.0      0.70
0.90      1.0      0.70
0.90      1.0      0.70
0.90      1.0      0.70
0.90      1.0      0.70
0.90      1.0      0.70
