Wavelength	Q_e_bulk_0W_18N_bulk	SSA_bulk_0W_18N_bulk	g_bulk_0W_18N_bulk	
0.350	3.663	0.958	0.779
0.550	3.837	0.971	0.751
0.750	4.105	0.978	0.756
0.950	4.140	0.979	0.750
2.000	3.456	0.989	0.729
4.000	2.191	0.989	0.697
6.000	1.420	0.988	0.668
8.000	0.963	0.987	0.634
10.000	0.673	0.989	0.603
12.000	0.478	0.985	0.569
14.000	0.348	0.959	0.534
16.000	0.260	0.983	0.498
35.000	0.031	0.963	0.244
