Qe_sw      SSA_sw      g_sw
2.531      0.990      0.692
2.914      0.989      0.703
3.230      0.988      0.715
3.443      0.987      0.722
3.658      0.986      0.730
3.889      0.984      0.736
3.964      0.982      0.739
4.049      0.979      0.748
4.066      0.972      0.756
3.799      0.963      0.754
3.673      0.952      0.774
3.599      0.941      0.789
3.413      0.926      0.798
1.011      0.991      0.623
